from,to,dialogue,yarn_id
LIEUTENANT,PADME,"Senator, we're making our final approach into Coruscant.",873749
PADME,LIEUTENANT,"Very good, Lieutenant.",873750
CAPTAIN TYPHO,PADME,We made it.,873751
CAPTAIN TYPHO,PADME,"I guess I was wrong, there was no danger at all.",873752;873753
PADME,CORDE,Corde.,873754
CORDE,PADME,M'lady I'm so sorry.,873755
CORDE,PADME,"I've failed you, Senator.",873756
PADME,CORDE,No!,873757
CAPTAIN TYPHO,PADME,"M'Lady, you are still in danger here.",873758
PADME,CAPTAIN TYPHO,I shouldn't have come back.,873759
CAPTAIN TYPHO,PADME,This vote is very important.,873759
CAPTAIN TYPHO,PADME,You did your duty and Corde did hers.,873760
CAPTAIN TYPHO,PADME,Now come.,873760
CAPTAIN TYPHO,PADME,"Senator Amidala, please!",873761
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI","I don't know how much longer I can hold off the vote, my friends.",873762
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",More and more star systems are joining the separatists.,873763
MACE WINDU,PALPATINE,If they do break away-,873764
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",I will not let this Republic.,873765
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",that has stood for a thousand years be split in two.,873766
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",My negotiations will not fail.,873767
MACE WINDU,PALPATINE,"If they do, you must realize there aren't enough Jedi to protect the Republic.",873768;873769
MACE WINDU,PALPATINE,"We're keepers of the peace, not soldiers.",873770
PALPATINE,YODA,Master Yoda.,873771
PALPATINE,YODA,Do you think it will really come to war?,873772
YODA,PALPATINE,The dark side clouds everything.,873773
YODA,PALPATINE,Impossible to see the future is.,873774
NA,PALPATINE,"The Loyalist Committee has arrived, Your Honor.",873775
PALPATINE,NA,Good.,873776
PALPATINE,NA,Send them in.,873777
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",We will discuss this matter later.,873778
YODA,PADME,"Senator Amidala, Your tragedy on the landing platform, terrible.",873780
YODA,PADME,Seeing you alive brings warm feelings to my heart.,873781
YODA,PADME,brings warm feeling to my heart.,873781
PADME,YODA,Do you have any idea who was behind this attack?,873782
MACE WINDU,PADME,"Our intelligence points to disgruntled spice miners, in the moons of Naboo.",873783
PADME,MACE WINDU,I think that Count Dooku was behind it.,873784
KI-ADI-MUNDI,PADME,"He is a political idealist, not a murderer.",873785
MACE WINDU,PADME,"You know, M'Lady, Count Dooku was once a Jedi.",873786
MACE WINDU,PADME,"He couldn't assassinate anyone, it's not in his character.",873787
YODA,PADME,"But for certain Senator, in grave danger you are.",873789
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI","Master Jedi, may I suggest that the Senator be placed under the protection of your graces.",873790
BAIL ORGANA,PALPATINE,Do you really think that's a wise decision under these stressful times?,873792
PADME,PALPATINE,"Chancellor, if I may comment, I do not believe that the.",873793
PALPATINE,PADME,"""situation is that serious.",873794
PALPATINE,PADME,""" No, but I do, Senator.",873795
PALPATINE,PADME,"I realize all too well that additional security might be disruptive for you, but perhaps someone you are familiar with.",873796
PALPATINE,PADME,an old friend like.,873799
PALPATINE,PADME,Master Kenobi.,873799
MACE WINDU,PALPATINE,That's possible.,873800
MACE WINDU,PALPATINE,He's just returned from a border dispute on Ansion.,873801
PALPATINE,PADME,"Do it for me, M'Lady.",873802
PALPATINE,PADME,"please, the thought of losing you is unbearable.",873804
MACE WINDU,PADME,"I'll have Obi-Wan report to you immediately, M'Lady.",873805
PADME,MACE WINDU,Thank you Master Windu,873806
OBI-WAN,ANAKIN,You seem a little on edge,873807
ANAKIN,OBI-WAN,Not at all,873807
OBI-WAN,ANAKIN,I haven't felt you this tense since we fell into that nest of Gundarks,873808
ANAKIN,OBI-WAN,"You fell into that nightmare, master And I rescued you remember?",873809
OBI-WAN,ANAKIN,Oh.,873809
OBI-WAN,ANAKIN,yes.,873811
OBI-WAN,ANAKIN,"You're sweating, relax, take a deep breath.",873812
ANAKIN,OBI-WAN,"I haven't seen her in ten years, Master.",873813
JAR JAR,OBI-WAN,Obi?,873814
JAR JAR,OBI-WAN,Obi!,873814
JAR JAR,OBI-WAN,Mesa sooo smilen to see'en yousa.,873815
OBI-WAN,JAR JAR,"Good to see you, again, Jar Jar.",873815
JAR JAR,PADME,Senator Padme!,873816
JAR JAR,PADME,Mesa Palos Here!,873817
JAR JAR,PADME,"Lookie, lookie, Senator desa jedi arriven!",873817
OBI-WAN,PADME,"It's a great pleasure to see you again, M'Lady.",873819
PADME,OBI-WAN,It has been far too long Master Kenobi.,873820
PADME,ANAKIN,Ani?,873821
PADME,ANAKIN,My goodness you've grown.,873822
ANAKIN,PADME,So have you.,873822
ANAKIN,PADME,"grown more beautiful, I mean.",873823
ANAKIN,PADME,well.,873824
ANAKIN,PADME,"for a Senator, I mean.",873824
PADME,ANAKIN,"Ani, you'll always be that little boy I knew on Tatooine.",873825
OBI-WAN,PADME,"Our presence will be invisible, M'Lady.",873826
OBI-WAN,PADME,I can assure you.,873826
CAPTAIN TYPHO,OBI-WAN,I'm Captain Typho of Her Majesty's security service.,873827
CAPTAIN TYPHO,OBI-WAN,Queen Jamilla has been informed of your assignment.,873828
CAPTAIN TYPHO,OBI-WAN,"I am grateful you're here, Master Kenobi.",873829
CAPTAIN TYPHO,OBI-WAN,The situation is more dangerous than the Senator will admit.,873830
PADME,"CAPTAIN TYPHO, OBI-WAN, ANAKIN","I don't need more security, I need answers.",873831
PADME,"CAPTAIN TYPHO, OBI-WAN, ANAKIN",I want to know who is trying to kill me.,873832
OBI-WAN,PADME,"We're here to protect you Senator, not to start an investigation.",873833
ANAKIN,PADME,"We will find out who is trying to kill you Padme, I promise you.",873835
OBI-WAN,ANAKIN,"We will not exceed our mandate, my young Padawan learner.",873836
ANAKIN,OBI-WAN,"I meant that in the interest of protecting her, Master, of course.",873837
OBI-WAN,ANAKIN,"We will not going through this exercise again, Anakin.",873838
OBI-WAN,ANAKIN,And you will pay attention to my lead.,873839
ANAKIN,OBI-WAN,Why?,873840
OBI-WAN,ANAKIN,What?,873840
ANAKIN,OBI-WAN,"Why else do you think we were assigned to her, if not to find the killer?",873841
ANAKIN,OBI-WAN,Protection is a job for local security.,873842
ANAKIN,OBI-WAN,not Jedi.,873842
ANAKIN,OBI-WAN,"It's overkill, Master.",873843
ANAKIN,OBI-WAN,Investigation is implied in our mandate.,873843
OBI-WAN,ANAKIN,"We will do exactly as the Council has instructed, and you will learn your place, young one.",873845
PADME,"OBI-WAN, ANAKIN","Perhaps with merely your presence, the mysteries surrounding this threat will be revealed.",873846
PADME,"OBI-WAN, ANAKIN",Now if you will excuse me I will retire.,873849
CAPTAIN TYPHO,OBI-WAN,I know I'll feel a lot better having you here.,873850
CAPTAIN TYPHO,OBI-WAN,I'll have an officer stationed on every floor and I'll be in the control center downstairs.,873852
JAR JAR,ANAKIN,"Mesa busten wit happiness seein yousa again, Ani.",873853
ANAKIN,JAR JAR,"She hardly even recognized me, Jar Jar.",873854
ANAKIN,JAR JAR,I thought about her every day since we parted.,873855
ANAKIN,JAR JAR,and she's forgotten me completely.,873856
JAR JAR,ANAKIN,Shesa happy.,873857
JAR JAR,ANAKIN,Happier den mesa see-en her in a longo time.,873858
OBI-WAN,ANAKIN,"You're focusing on the negative, Anakin.",873859
OBI-WAN,ANAKIN,Be mindful of your thoughts.,873859
OBI-WAN,ANAKIN,She was pleased to see us.,873860
OBI-WAN,ANAKIN,Now lets check the security.,873861
ZAM WESSEL,JANGO FETT,I hit the ship but they used a decoy,873862
JANGO FETT,ZAM WESSEL,"We'll have to try something more subtle this time, Zam.",873863
JANGO FETT,ZAM WESSEL,My client is getting impatient.,873864
JANGO FETT,ZAM WESSEL,Take these.,873865
JANGO FETT,ZAM WESSEL,Be careful.,873865
JANGO FETT,ZAM WESSEL,They're very poisonous.,873865
JANGO FETT,ZAM WESSEL,"Zam, there can be no mistakes this time.",873866
OBI-WAN,ANAKIN,Captain Typho has more than enough men downstairs.,873867
OBI-WAN,ANAKIN,No assassin will try that way.,873868
OBI-WAN,ANAKIN,Any activity up here?,873869
ANAKIN,OBI-WAN,Quiet as a tomb.,873869
ANAKIN,OBI-WAN,I don't like just waiting here for something to happen to her.,873870
OBI-WAN,ANAKIN,What's going on?,873871
ANAKIN,OBI-WAN,She covered the cameras.,873871
ANAKIN,OBI-WAN,I don't think she liked me watching her.,873872
OBI-WAN,ANAKIN,What is she thinking?,873873
ANAKIN,OBI-WAN,She programmed Artoo to warn us if there's an intruder.,873874
OBI-WAN,ANAKIN,There are many other ways to kill a Senator.,873875
ANAKIN,OBI-WAN,"I know, but we also want to catch this assassin.",873876
ANAKIN,OBI-WAN,"Don't we, Master?",873876
OBI-WAN,ANAKIN,You're using her as bait?,873877
ANAKIN,OBI-WAN,It was her idea.,873878
ANAKIN,OBI-WAN,"Don't worry, no harm will come to her.",873879
ANAKIN,OBI-WAN,I can sense everything going on in that room.,873880
ANAKIN,OBI-WAN,Trust me.,873881
OBI-WAN,ANAKIN,It's too risky.,873882
OBI-WAN,ANAKIN,"besides, your senses aren't that attuned, my young apprentice.",873883
ANAKIN,OBI-WAN,And yours are?,873884
OBI-WAN,ANAKIN,Possibly.,873885
OBI-WAN,ANAKIN,You look tired.,873886
ANAKIN,OBI-WAN,"I don't sleep well, anymore.",873887
