speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
LIEUTENANT,PADME,0,"Senator, we're making our final approach into Coruscant.",2,8,
PADME,LIEUTENANT,1,"Very good, Lieutenant.",1,3,
CAPTAIN TYPHO,PADME,2,"We made it. I guess I was wrong, there was no danger at all.",2,14,
PADME,CORDE,3,Corde...,1,1,
CORDE,PADME,4,"M'lady I'm so sorry. I've failed you, Senator",1,8,
PADME,CORDE,5,No!,1,1,
CAPTAIN TYPHO,PADME,6,"M'Lady, you are still in danger here.",1,7,
PADME,CAPTAIN TYPHO,7,I shouldn't have come back.,1,5,
CAPTAIN TYPHO,PADME,8,"This vote is very important. You did your duty and Corde did hers. Now come. Senator Amidala, please!",5,18,
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",9,"I don't know how much longer I can hold off the vote, my friends. More and more star systems are joining the separatists.",3,23,
MACE WINDU,PALPATINE,10,If they do break away-,1,5,
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",11,I will not let this Republic... that has stood for a thousand years be split in two. My negotiations will not fail.,2,22,
MACE WINDU,PALPATINE,12,"If they do, you must realize there aren't enough Jedi to protect the Republic. We're keepers of the peace, not soldiers.",2,21,
PALPATINE,YODA,13,Master Yoda. Do you think it will really come to war?,1,11,
YODA,PALPATINE,14,The dark side clouds everything. Impossible to see the future is.,2,11,
PALPATINE,NA,15,Good. Send them in.,1,4,
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",16,We will discuss this matter later.,1,6,
YODA,PADME,17,"Senator Amidala, Your tragedy on the landing platform, terrible. Seeing you alive brings warm feelings to my heart. brings warm feeling to my heart.",3,24,
PADME,YODA,18,Do you have any idea who was behind this attack?,3,10,
MACE WINDU,PADME,19,"Our intelligence points to disgruntled spice miners, in the moons of Naboo.",3,12,
PADME,MACE WINDU,20,I think that Count Dooku was behind it.,2,8,
KI-ADI-MUNDI,PADME,21,"He is a political idealist, not a murderer.",2,8,
MACE WINDU,PADME,22,"You know, M'Lady, Count Dooku was once a Jedi. He couldn't assassinate anyone, it's not in his character.",4,18,
YODA,PADME,23,"But for certain Senator, in grave danger you are.",2,9,
PALPATINE,"YODA, MACE WINDU, KI-ADI-MUNDI",24,"Master Jedi, may I suggest that the Senator be placed under the protection of your graces.",3,16,
BAIL ORGANA,PALPATINE,25,Do you really think that's a wise decision under these stressful times?,3,13,
PADME,PALPATINE,26,"Chancellor, if I may comment, I do not believe that the...",2,11,
PALPATINE,PADME,27,"...""situation is that serious."" No, but I do, Senator. I realize all too well that additional security might be disruptive for you, but perhaps someone you are familiar with... an old friend like... Master Kenobi...",7,35,
MACE WINDU,PALPATINE,28,That's possible. He's just returned from a border dispute on Ansion.,3,11,
PALPATINE,PADME,29,"Do it for me, M'Lady... please, the thought of losing you is unbearable",3,13,
MACE WINDU,PADME,30,"I'll have Obi-Wan report to you immediately, M'Lady.",2,8,
PADME,MACE WINDU,31,Thank you Master Windu,1,4,
OBI-WAN,ANAKIN,32,You seem a little on edge,1,6,
ANAKIN,OBI-WAN,33,Not at all,1,3,
OBI-WAN,ANAKIN,34,I haven't felt you this tense since we fell into that nest of Gundarks,1,14,
ANAKIN,OBI-WAN,35,"You fell into that nightmare, master And I rescued you remember?",2,11,
OBI-WAN,ANAKIN,36,"Oh.. yes. You're sweating, relax, take a deep breath.",1,9,
ANAKIN,OBI-WAN,37,"I haven't seen her in ten years, Master.",1,8,
JAR JAR,OBI-WAN,38,Obi? Obi! Mesa sooo smilen to see'en yousa.,2,8,
OBI-WAN,JAR JAR,39,"Good to see you, again, Jar Jar.",1,7,
JAR JAR,PADME,40,"Senator Padme! Mesa Palos Here! Lookie, lookie, Senator desa jedi arriven",4,11,
OBI-WAN,PADME,41,"It's a great pleasure to see you again, M'Lady.",2,9,
PADME,OBI-WAN,42,It has been far too long Master Kenobi.,2,8,
PADME,ANAKIN,43,Ani?? My goodness you've grown.,2,5,
ANAKIN,PADME,44,"So have you... grown more beautiful, I mean... well... for a Senator, I mean.",3,14,
PADME,ANAKIN,45,"Ani, you'll always be that little boy I knew on Tatooine.",2,11,
OBI-WAN,PADME,46,"Our presence will be invisible, M'Lady. I can assure you",2,10,
CAPTAIN TYPHO,OBI-WAN,47,"I'm Captain Typho of Her Majesty's security service. Queen Jamilla has been informed of your assignment. I am grateful you're here, Master Kenobi. The situation is more dangerous than the Senator will admit.",5,33,
PADME,"CAPTAIN TYPHO, OBI-WAN, ANAKIN",48,"I don't need more security, I need answers. I want to know who is trying to kill me.",3,18,
OBI-WAN,PADME,49,"We're here to protect you Senator, not to start an investigation.",3,11,
ANAKIN,PADME,50,"We will find out who is trying to kill you Padme, I promise you.",2,14,
OBI-WAN,ANAKIN,51,"We will not exceed our mandate, my young Padawan learner.",2,10,
ANAKIN,OBI-WAN,52,"I meant that in the interest of protecting her, Master, of course.",2,12,
OBI-WAN,ANAKIN,53,"We will not going through this exercise again, Anakin. And you will pay attention to my lead.",3,17,
ANAKIN,OBI-WAN,54,Why?,1,1,
OBI-WAN,ANAKIN,55,What??!!,1,1,
ANAKIN,OBI-WAN,56,"Why else do you think we were assigned to her, if not to find the killer? Protection is a job for local security... not Jedi. It's overkill, Master. Investigation is implied in our mandate.",7,34,
OBI-WAN,ANAKIN,57,"We will do exactly as the Council has instructed, and you will learn your place, young one.",3,17,
PADME,"OBI-WAN, ANAKIN",58,"Perhaps with merely your presence, the mysteries surrounding this threat will be revealed. Now if you will excuse me I will retire.",4,22,
CAPTAIN TYPHO,OBI-WAN,59,I know I'll feel a lot better having you here. I'll have an officer stationed on every floor and I'll be in the control center downstairs.,5,26,
JAR JAR,ANAKIN,60,"Mesa busten wit happiness seein yousa again, Ani.",2,8,
ANAKIN,JAR JAR,61,"She hardly even recognized me, Jar Jar. I thought about her every day since we parted... and she's forgotten me completely.",4,21,
JAR JAR,ANAKIN,62,Shesa happy. Happier den mesa see-en her in a longo time.,2,11,
OBI-WAN,ANAKIN,63,"You're focusing on the negative, Anakin. Be mindful of your thoughts. She was pleased to see us. Now lets check the security.",4,22,
ZAM WESSEL,JANGO FETT,64,I hit the ship but they used a decoy,1,9,
JANGO FETT,ZAM WESSEL,65,"We'll have to try something more subtle this time, Zam. My client is getting impatient. Take these. Be careful. They're very poisonous. Zam, there can be no mistakes this time.",3,30,
OBI-WAN,ANAKIN,66,Captain Typho has more than enough men downstairs. No assassin will try that way. Any activity up here?,3,18,
ANAKIN,OBI-WAN,67,Quiet as a tomb. I don't like just waiting here for something to happen to her.,3,16,
OBI-WAN,ANAKIN,68,What's going on?,1,3,
ANAKIN,OBI-WAN,69,She covered the cameras. I don't think she liked me watching her.,2,12,
OBI-WAN,ANAKIN,70,What is she thinking?,1,4,
ANAKIN,OBI-WAN,71,She programmed Artoo to warn us if there's an intruder.,2,10,
OBI-WAN,ANAKIN,72,There are many other ways to kill a Senator.,2,9,
ANAKIN,OBI-WAN,73,"I know, but we also want to catch this assassin. Don't we, Master?",2,13,
OBI-WAN,ANAKIN,74,You're using her as bait?,1,5,
ANAKIN,OBI-WAN,75,"It was her idea... Don't worry, no harm will come to her. I can sense everything going on in that room. Trust me.",4,23,
OBI-WAN,ANAKIN,76,"It's too risky... besides, your senses aren't that attuned, my young apprentice.",2,12,
ANAKIN,OBI-WAN,77,And yours are?,1,3,
OBI-WAN,ANAKIN,78,Possibly. You look tired.,2,4,
ANAKIN,OBI-WAN,79,"I don't sleep well, anymore.",1,5,
OBI-WAN,ANAKIN,80,Because of your mother?,1,4,
ANAKIN,OBI-WAN,81,I don't know why I keep dreaming bbout her.,2,9,
OBI-WAN,ANAKIN,82,Dreams pass in time.,1,4,
ANAKIN,OBI-WAN,83,I'd much rather dream about Padme. Just being around her again is... intoxicating.,3,13,
OBI-WAN,ANAKIN,84,"Be mindful of your thoughts, Anakin, they betray you. You've made a commitment to the Jedi order... a commitment not easily broken... and don't forget she's a politician and they're not to be trusted.",6,34,
ANAKIN,OBI-WAN,85,"She's not like the others in the Senate, Master.",2,9,
OBI-WAN,ANAKIN,86,It's been my experience that Senators are only focused on pleasing those who fund their campaigns... and they are in no means scared of forgetting the niceties of democracy in order to get those funds.,7,35,
ANAKIN,OBI-WAN,87,"Not another lecture, Master. At least not on the economics of politics....",2,12,
ANAKIN,OBI-WAN,88,"And besides, you're generalizing. The Chancellor doesn't appear to be corrupt.",4,11,
OBI-WAN,ANAKIN,89,"Palpatine is a politician, I have observed that he is very clever at following the passions and prejudices of the Senators.",4,21,
ANAKIN,OBI-WAN,90,I think he's a good man. My-,1,7,
OBI-WAN,ANAKIN,91,"I sense it, too.",1,4,
ANAKIN,PADME,92,Stay here!,1,2,
DORME,PADME,93,"Are you all right, m'lady?",1,5,
OBI-WAN,ANAKIN,94,What took you so long?,1,5,
ANAKIN,OBI-WAN,95,"Oh, you know, Master, I couldn't find a speeder that I really liked,",2,13,
OBI-WAN,ANAKIN,96,There he is,1,3,
ANAKIN,OBI-WAN,97,with an open cockpit... and with the right speed capabilities...,2,10,
OBI-WAN,ANAKIN,98,If you spent as much time practicing your saber techniques as you do on your wit you would rival Master Yoda as a swordsman.,5,24,
ANAKIN,OBI-WAN,99,I thought I already did.,1,5,
OBI-WAN,ANAKIN,100,"Only in your mind, my very young apprentice. Pull up, Anakin. Pull up! You know I don't like it when you do that.",2,23,
ANAKIN,OBI-WAN,101,"Sorry, Master, I forgot you don't like flying.",2,8,
OBI-WAN,ANAKIN,102,I don't mind flying... but what you're doing is suicide! Anakin! How many times have I told you stay away from power couplings! That was good. Where are you going?! He went that way.,7,34,
ANAKIN,OBI-WAN,103,"Master, if we keep this chase going, that creep's gonna end up deep fried. Personally, I'd very much like to find out who he is and who he's working for... This is a shortcut. I think.",6,36,
OBI-WAN,ANAKIN,104,"Well, you've lost him.",1,4,
ANAKIN,OBI-WAN,105,"I'm deeply sorry, Master.",1,4,
OBI-WAN,ANAKIN,106,"That was some shortcut, Anakin. He went completely the other way. Once again you've proved...",2,15,
ANAKIN,OBI-WAN,107,If you'll excuse me.,1,4,
OBI-WAN,OBI-WAN,108,I hate it when he does that.,1,7,
OBI-WAN,ANAKIN,109,Anakin!,1,1,
ANAKIN,OBI-WAN,110,"She went into the club, Master.",1,6,
OBI-WAN,ANAKIN,111,Patience. Use the Force. Think.,2,5,
ANAKIN,OBI-WAN,112,"Sorry, Master.",1,2,
OBI-WAN,ANAKIN,113,"He went in there to hide, not to run.",1,9,
ANAKIN,OBI-WAN,114,"Yes, Master.",1,2,
OBI-WAN,ANAKIN,115,"Next time, try not to lose it.",1,7,
ANAKIN,OBI-WAN,116,"Yes, Master.",1,2,
