speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
ANAKIN,R2D2,0,"Lock onto them, Artoo.",1,4,
ANAKIN,OBI-WAN,1,"Master, General Grievous's ship is directly ahead. The one crawling with vulture droids.",2,13,
OBI-WAN,ANAKIN,2,"I see it. Oh, this is going to be easy.",1,10,
OBI-WAN,ODD BALL,3,"Odd Ball, do you copy?",1,5,
ODD BALL,OBI-WAN,4,"Copy, Red Leader.",1,3,
OBI-WAN,ODD BALL,5,Mark my position and form your squad up behind me...,1,10,
ODD BALL,OBI-WAN,6,"We're on your tail, General Kenobi. Set S-foils in attack position.",1,11,
ANAKIN,OBI-WAN,7,This is where the fun begins.,1,6,
OBI-WAN,RED GROUP,8,Let them pass between us.,1,5,
ODD BALL,RED GROUP,9,They're all over me. Get them off my-,1,8,
ANAKIN,OBI-WAN,10,I'm gonna go help them out.,1,6,
OBI-WAN,ANAKIN,11,No. No. They are doing their job so we can do ours,2,12,
ANAKIN,OBI-WAN,12,Missiles. Pull up.,1,3,
OBI-WAN,ANAKIN,13,They overshot us.,1,3,
ANAKIN,OBI-WAN,14,They're coming around.,1,3,
OBI-WAN,R4,15,"All right, R4. No, no, no,no-, no. Nothing too fancy.",1,12,
ANAKIN,R2D2,16,"Surge all power units, R2. Stand by reverse thrusters.",2,9,
ANAKIN,R2D2,17,"We got 'em, R2.",1,4,
OBI-WAN,OBI-WAN,18,Flying is for droids.,1,4,
OBI-WAN,ANAKIN,19,I'm hit. Anakin?,1,3,
ANAKIN,OBI-WAN,20,I see them. Buzz droids.,1,4,
OBI-WAN,R4,21,"R4, be careful. You have a-",1,6,
OBI-WAN,OBI-WAN,22,"Oh, dear.",1,2,
OBI-WAN,ANAKIN,23,They're shutting down all the controls.,2,6,
ANAKIN,OBI-WAN,24,Move to the right so I can get a clear shot at them.,2,13,
OBI-WAN,ANAKIN,25,The mission. Get to the command ship. Get the chancellor. I'm running out of tricks here. In the name of- Hold your fire! You're not helping.,6,26,
ANAKIN,OBI-WAN,26,I agree. Bad idea.,1,4,
OBI-WAN,ANAKIN,27,I can't see a thing. My cockpit's fogging. They're all over me. Anakin!,3,13,
ANAKIN,OBI-WAN,28,Move to the right.,1,4,
OBI-WAN,ANAKIN,29,"Hold on, Anakin. You're gonna get us both killed. Get out of here. There's nothing more you can do.",3,19,
ANAKIN,OBI-WAN,30,"I'm not leaving without you, Master.",2,6,
ANAKIN,R2D2,31,"Get him, R2. Watch out.",2,5,
OBI-WAN,R2D2,32,"R2, hit the buzz droid's centre eye.",1,7,
ANAKIN,R2D2,33,"Yeah, you got him!",1,4,
OBI-WAN,R2D2,34,"Great, Artoo.",1,2,
ANAKIN,OBI-WAN,35,The General's Command Ship is dead ahead.,1,7,
R2D2,GROUP,36,SCREAM,1,1,
OBI-WAN,ANAKIN,37,"Well, have you noticed the shields are still up?",1,9,
ANAKIN,OBI-WAN,38,"Sorry, Master.",1,2,
OBI-WAN,ANAKIN,39,"Oh, I have a bad feeling about this.",1,8,
BATTLE DROID,NA,40,There they are. Get 'em,1,5,
OBI-WAN,R2D2,41,"Artoo, locate the Chancellor.",1,4,
OBI-WAN,ANAKIN,42,The Chancellor's signal is coming from right there. The observation platform at the top of that spire.,1,17,
ANAKIN,OBI-WAN,43,I sense Count Dooku...,1,4,
