speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
THREEPIO,R2D2,0,Did you hear that? They've shut down Did you hear that?,2,11,
THREEPIO,R2D2,1,They've shut down the main reactor. We'll be destroyed for sure. This is madness!,2,14,
THREEPIO,R2D2,2,We're doomed.,1,2,
THREEPIO,R2D2,3,There'll be no escape for the Princess this time.,2,9,
THREEPIO,R2D2,4,What's that?,1,2,
THREEPIO,R2D2,5,"Artoo-Detoo, where are you?",1,4,
THREEPIO,R2D2,6,At last! Where have you been?,1,6,
THREEPIO,R2D2,7,They're heading in this direction.,1,5,
THREEPIO,R2D2,8,What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!,3,21,
THREEPIO,R2D2,9,"Wait a minute, where are you going?",1,7,
IMPERIAL OFFICER,VADER,10,The Death Star plans are not in the main computer.,2,10,
VADER,REBEL OFFICER,11,Where are those transmissions you intercepted?,2,6,
VADER,REBEL OFFICER,12,What have you done with those plans?,1,7,
REBEL OFFICER,VADER,13,We intercepted no transmissions. This is a consular ship. Were on a diplomatic mission.,3,14,
VADER,REBEL OFFICER,14,If this is a consular ship... where is the ambassador?,2,10,
VADER,COMMANDER,15,"Commander, tear this ship apart until you've found those plans and bring me the passangers. I want them alive!",3,19,
TROOPER,NA,16,There's one! Set for stun! She'll be all right. Inform Lord Vader we have a prisoner.,3,16,
THREEPIO,R2D2,17,"Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure.",3,13,
THREEPIO,R2D2,18,"Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you.",3,18,
THREEPIO,R2D2,19,Secret mission? What plans? What are you talking about? I'm not getting in there!,3,14,
THREEPIO,THREEPIO,20,I'm going to regret this.,1,5,
CHIEF PILOT,CAPTAIN,21,There goes another one.,1,4,
CAPTAIN,CHIEF PILOT,22,Hold your fire. There are no life forms. It must have short-circuited.,2,12,
THREEPIO,R2D2,23,"That's funny, the damage doesn't look as bad from out here.",2,11,
THREEPIO,R2D2,24,Are you sure this thing is safe?,1,7,
LEIA,VADER,25,"Darth Vader, Only you could be so bold. The Imperial Senate will not sit still for this, when they hear you've attacked a diplomatic...",5,24,
VADER,LEIA,26,"Don't act so surprised, Your Highness. You weren't on any mercy mission this time. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.",8,36,
LEIA,VADER,27,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,4,20,
VADER,LEIA,28,You are a part of the Rebel Alliance... and a traitor. Take her away!,2,14,
COMMANDER,VADER,29,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion and the senate.",4,20,
VADER,COMMANDER,30,I have traced the Rebel spies to her. Now she is my only link to find their secret base!,3,19,
COMMANDER,VADER,31,She'll die before she tells you anything.,2,7,
VADER,COMMANDER,32,Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!,3,18,
SECOND OFFICER,VADER,33,"Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard.",6,30,
VADER,COMMANDER,34,"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time.",5,31,
COMMANDER,VADER,35,"Yes, sir.",1,2,
THREEPIO,R2D2,36,How did we get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.,3,24,
THREEPIO,R2D2,37,I've got to rest before I fall apart. My joints are almost frozen.,2,13,
THREEPIO,R2D2,38,What a desolate place this is.,1,6,
THREEPIO,R2D2,39,Where do you think you're going?,1,6,
THREEPIO,R2D2,40,"Well, I'm not going that way. It's much too rocky. This way is much easier.",2,15,
THREEPIO,R2D2,41,What makes you think there are settlements over there?,2,9,
THREEPIO,R2D2,42,Don't get technical with me.,1,5,
THREEPIO,R2D2,43,What mission? What are you talking about? I've had just about enough of,2,13,
THREEPIO,R2D2,44,"you! Go that way! You'll be malfunctioning within a day, you nearsighted scrap pile!",3,14,
THREEPIO,R2D2,45,"And don't let me catch you following me begging for help, because you won't get it.",3,16,
THREEPIO,R2D2,46,No more adventures. I'm not going that way.,2,8,
THREEPIO,THREEPIO,47,"That malfunctioning little twerp. This is all his fault! He tricked me into going this way, but he'll do no better. Wait, what's that? A transport! I'm saved!",6,28,
THREEPIO,NA,48,"Over here! Hey! Hey! Help! Please, help!",1,7,
THREEPIO,R2D2,49,Artoo?,1,1,
THREEPIO,R2D2,50,Artoo-Detoo! It is you! It is you!,1,7,
