speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
LUKE,HAN,0,"Echo Three to Echo Seven. Han, old buddy, do you read me?",2,12,
HAN,LUKE,1,"Loud and clear, kid. What's up?",1,6,
LUKE,HAN,2,"Well, I finished my circle. I don't pick up any life readings.",2,12,
HAN,LUKE,3,"There isn't enough life on this ice cube to fill a space cruiser. Sensors are placed, I'm going back.",4,19,
LUKE,HAN,4,Right. I'll see you shortly. There's a meteorite that hit the ground near here. I want to check it out. It won't take long.,4,24,
LUKE,NA,5,"Steady! Hey, steady girl. Hey, what's the matter? You smell something?",2,11,
HAN,CHEWIE,6,Chewie! Chewie! Chewie!,1,3,
HAN,CHEWIE,7,"All right, don't lose your temper.",1,6,
HAN,CHEWIE,8,I'll come right back and give you a hand.,2,9,
RIEEKAN,HAN,9,Solo?,1,1,
HAN,RIEEKAN,10,"No sign of life out there, General. The sensors are in place. You'll know if anything comes around.",3,18,
RIEEKAN,HAN,11,Commander Skywalker reported in yet?,1,5,
HAN,RIEEKAN,12,No. He's checking out a meteorite that hit near him.,2,10,
RIEEKAN,HAN,13,"With all the meteor activity in this system, it's going to be difficult to spot approaching ships.",3,17,
HAN,RIEEKAN,14,"General, I've got to leave. I can't stay anymore.",2,9,
RIEEKAN,HAN,15,I'm sorry to hear that.,1,5,
HAN,RIEEKAN,16,"Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man.",3,19,
RIEEKAN,HAN,17,"A death mark's not an easy thing to live with. You're a good fighter, Solo. I hate to lose you.",3,20,
HAN,RIEEKAN,18,"Thank you, General.",1,3,
HAN,LEIA,19,"Well, Your Highness, guess this is it.",2,7,
LEIA,HAN,20,That's right.,1,2,
HAN,LEIA,21,"Well, don't get all mushy on me. So long, Princess.",2,10,
LEIA,HAN,22,Han!,1,1,
HAN,LEIA,23,"Yes, Your Highnessness?",1,3,
LEIA,HAN,24,I thought you had decided to stay.,1,7,
HAN,LEIA,25,"Well, the bounty hunter we ran into on Ord Mantell changed my mind.",3,13,
LEIA,HAN,26,"Han, we need you!",1,4,
HAN,LEIA,27,We need?,1,2,
LEIA,HAN,28,Yes.,1,1,
HAN,LEIA,29,"Well, what about you need?",1,5,
LEIA,HAN,30,I need? I don't know what you're talking about.,2,9,
HAN,LEIA,31,You probably don't.,1,3,
LEIA,HAN,32,And what precisely am I supposed to know?,2,8,
HAN,LEIA,33,Come on! You want me to stay because of the way you feel about me.,3,15,
LEIA,HAN,34,Yes. You're a great help to us. You're a natural leader...,2,11,
HAN,LEIA,35,No! That's not it. Come on. Come on.,2,8,
LEIA,HAN,36,You're imagining things.,1,3,
HAN,LEIA,37,Am I? Then why are you following me? Afraid I was going to leave without giving you a goodbye kiss?,3,20,
LEIA,HAN,38,I'd just as soon kiss a Wookiee.,1,7,
HAN,LEIA,39,I can arrange that. You could use a good kiss!,2,10,
THREEPIO,R2D2,40,Don't try to blame me. I didn't,1,7,
THREEPIO,R2D2,41,ask you to turn on the thermal,1,7,
THREEPIO,R2D2,42,heater. I merely commented that it,1,6,
THREEPIO,R2D2,43,was freezing in the princess' chamber.,2,6,
THREEPIO,R2D2,44,But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.,3,20,
THREEPIO,R2D2,45,"Oh, switch off.",1,3,
HAN,CHEWIE,46,Why did you take this apart now? I'm trying to get us out of here and you pull both of these.,3,21,
THREEPIO,HAN,47,"Excuse me, sir.",1,3,
HAN,CHEWIE,48,Put them back together right now.,1,6,
THREEPIO,HAN,49,"Might I have a word with you, please?",2,8,
HAN,THREEPIO,50,What do you want?,1,4,
THREEPIO,HAN,51,"Well, it's Princess Leia, sir. She's been trying to get you on the communicator.",3,14,
HAN,THREEPIO,52,I turned it off. I don't want to talk to her.,2,11,
THREEPIO,HAN,53,"Well, Princess Leia is wondering about Master Luke. He hasn't come back yet. She doesn't know where he is.",4,19,
HAN,THREEPIO,54,I don't know where he is.,1,6,
THREEPIO,HAN,55,Nobody knows where he is.,1,5,
HAN,THREEPIO,56,"What do you mean, ""nobody knows""?",1,6,
THREEPIO,HAN,57,"Well, you see...",1,3,
HAN,DECK OFFICER,58,Deck Officer. Deck Officer!,1,4,
THREEPIO,HAN,59,"Excuse me, sir. Might I inquire...",1,6,
DECK OFFICER,HAN,60,"Yes, sir?",1,2,
HAN,DECK OFFICER,61,Do you know where Commander Skywalker is?,2,7,
DECK OFFICER,HAN,62,I haven't seen him. It's possible he came in through the south entrance.,2,13,
HAN,DECK OFFICER,63,It's possible? Why don't you go find out? It's getting dark out there.,2,13,
DECK OFFICER,HAN,64,"Yes, sir.",1,2,
THREEPIO,HAN,65,"Excuse me, sir. Might I inquire what's going on?",2,9,
HAN,THREEPIO,66,Why not?,1,2,
THREEPIO,R2D2,67,"Impossible man. Come along, Artoo, let's find Princess Leia. Between ourselves, I think Master Luke is in considerable danger.",4,19,
DECK OFFICER,HAN,68,"Sir, Commander Skywalker hasn't come in through the south entrance. He might have forgotten to check in.",3,17,
HAN,DECK OFFICER,69,Not likely. Are the speeders ready?,1,6,
DECK OFFICER,HAN,70,Not yet. We're having some trouble adapting them to the cold.,2,11,
HAN,DECK OFFICER,71,We'll have to go out on Tauntauns.,2,7,
DECK OFFICER,HAN,72,"Sir, the temperature's dropping too rapidly.",2,6,
HAN,DECK OFFICER,73,That's right. And my friends out in it.,2,8,
ASSISTANT OFFICER,NA,74,I'll cover sector twelve. Have com-control set screen alpha.,2,9,
DECK OFFICER,HAN,75,Your Tauntaun'll freeze before you reach the first marker.,2,9,
HAN,DECK OFFICER,76,Then I'll see you in hell!,1,6,
WAMPA,NA,77,GRAAAAAH,1,1,
THREEPIO,R2D2,78,"You must come along now, Artoo.",1,6,
THREEPIO,R2D2,79,There's really nothing more we can do. And my joints are freezing up.,2,13,
THREEPIO,R2D2,80,Don't say thing like that! Of course we'll see Master Luke again.,2,12,
THREEPIO,R2D2,81,"And he'll be quite all right, you'll see.",1,8,
THREEPIO,R2D2,82,Stupid little short-circuit. He'll be quite all right.,2,8,
LIEUTENANT,NA,83,"Sir, all the patrols are in. still no- still no contact from Skywalker or Solo.",3,15,
THREEPIO,LEIA,84,"Mistress Leia, Artoo says he's been quite unable to pick up any signals, although he does admit that his own range is far too weak to abandon all hope.",5,29,
DERLIN,LEIA,85,"Your Highness, there's nothing more we can do tonight. The shield doors must be closed. Close the doors.",4,18,
LIEUTENANT,LEIA,86,"Yes, sir.",1,2,
THREEPIO,LEIA,87,Artoo says the chances of survival are seven hundred seventy-five... to one.,3,12,
THREEPIO,LEIA,88,"Actually, Artoo has been known to make mistakes... from time to time. Dear oh dear.",3,15,
THREEPIO,LEIA,89,Don't worry about Master Luke. I'm sure he'll,1,8,
THREEPIO,LEIA,90,"be all right. He's quite clever, you know... for a human being.",2,12,
OBI-WAN,LUKE,91,Luke. Luke.,1,2,force
LUKE,OBI-WAN,92,Ben?,1,1,force
OBI-WAN,LUKE,93,You will go to the Dagobah system.,1,7,force
LUKE,OBI-WAN,94,Dagobah system?,1,2,force
OBI-WAN,LUKE,95,"There you will learn from Yoda, the Jedi Master who instructed me.",2,12,force
LUKE,OBI-WAN,96,Ben! Ben!,1,2,force
HAN,LUKE,97,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here.",2,13,
HAN,HAN,98,Not much time.,1,3,
LUKE,NA,99,Ben... Ben...,1,2,
HAN,LUKE,100,"Hang on, kid.",1,3,
LUKE,NA,101,Dagobah system... Dagobah...,2,3,
HAN,LUKE,102,"This may smell bad, kid...",1,5,
LUKE,NA,103,Yoda...,1,1,
HAN,LUKE,104,...but it will keep you warm... til I get the shelter up.,2,12,
LUKE,NA,105,Ben. Ben. Dagobah.,1,3,
HAN,LUKE,106,I thought they smelled bad on the outside!,2,8,
ZEV,NA,107,"Echo Base... I've got something. Not much, but it could be a life form. Commander Skywalker, do you copy? This is Rogue Two. this is Rogue Two. Captain Solo, so you copy? Commander Skywalker, do you copy? This is Rogue Two.",7,41,
HAN,ZEV,108,Good morning. Nice of you guys to drop by.,2,9,
ZEV,NA,109,"Echo Base... this is Rogue Two. I've found them. Repeat, I've found them.",2,13,
THREEPIO,LUKE,110,"Master Luke, sir, it's so good to see you fully functional again.",2,12,
LUKE,THREEPIO,111,"Thanks, 3PO",1,2,
THREEPIO,LUKE,112,"Artoo expresses his relief, also.",1,5,
HAN,HAN,113,"How are you feeling, kid? You",1,6,
HAN,LUKE,114,don't look so bad to me. In,1,7,
HAN,LUKE,115,"fact, you look strong enough to pull the ears off a Gundark.",2,12,
LUKE,HAN,116,Thanks to you.,1,3,
HAN,LUKE,117,"That's two you owe me, junior.",1,6,
HAN,LEIA,118,"Well your Worship, looks like you managed to keep me around for a little while longer.",3,16,
LEIA,HAN,119,I had nothing to do with it. General Rieekan thinks it's dangerous for any ships to leave the system until we've activated the energy field.,4,25,
HAN,LEIA,120,That's a good story. I think you just can't bear to let a gorgeous guy like me out of your sight.,3,21,
LEIA,HAN,121,"I don't know where you get your delusions, laser brain.",2,10,
HAN,CHEWIE,122,"Laugh it up, fuzzball.",1,4,
HAN,CHEWIE,123,But you didn't see us alone in the south passage. She expressed her true feelings for me.,4,17,
LEIA,HAN,124,"My...! Why, you stuck up,... half- witted... scruffy-looking ...nerf-herder!",2,9,
HAN,LEIA,125,Who's scruffy-looking?,1,2,
HAN,LUKE,126,"I must have hit pretty close to the mark to get her all riled up like that, huh, kid?",3,19,
LEIA,HAN,127,"Well, I guess you don't know everything about women yet?",2,10,
ANNOUNCER,NA,128,"Headquarters personnel, report to command center.",2,6,
HAN,LUKE,129,Take it easy.,1,3,
THREEPIO,LUKE,130,"Excuse us, please.",1,3,
RIEEKAN,LEIA,131,"Princess... we have a visitor. We've picked up something outside the base in zone twelve, moving east.",4,17,
SENIOR CONTROLLER,NA,132,It's metal.,1,2,
LEIA,NA,133,Then it couldn't be one of those creatures.,2,8,
HAN,NA,134,"It could be a speeder, one of ours.",1,8,
SENIOR CONTROLLER,NA,135,No. Wait - there's something very weak coming through.,2,9,
THREEPIO,NA,136,"Sir, I am fluent in six million forms of communication. This signal is not used by the Alliance. It could be an Imperial code.",4,24,
HAN,NA,137,"It isn't friendly, whatever it is.",1,6,
HAN,CHEWIE,138,"Come on, Chewie, let's check it out.",1,7,
HAN,LEIA,139,Afraid there's not much left.,1,5,
LEIA,HAN,140,What was it?,1,3,
HAN,LEIA,141,Droid of some kind. I didn't hit it that hard. It must have had a self-destruct.,3,16,
LEIA,HAN,142,An Imperial probe droid.,1,4,
HAN,"LEIA, RIEEKAN",143,It's a good bet the Empire knows we're here.,2,9,
